11.77022, -0.01391
11.78599, -0.01456
11.80175, -0.01520
11.81751, -0.01585
11.83327, -0.01650
11.84904, -0.01715
11.86480, -0.01779
11.87913, 0.06076
11.88407, 12.54759
11.88408, 11.42834
11.88409, 10.30908
11.88409, 9.18983
11.88410, 8.07057
11.88410, 6.95132
11.88411, 5.83206
11.88412, 4.71281
11.88412, 3.59355
11.88413, 2.47430
11.88414, 1.35504
11.88478, 14.78607
11.88478, 13.83640
11.88533, 43.37792
11.88533, 42.25867
11.88534, 41.13941
11.88535, 40.02016
11.88535, 38.90090
11.88536, 37.78165
11.88537, 36.66239
11.88537, 35.54314
11.88538, 34.42388
11.88539, 33.30463
11.88539, 32.18537
11.88540, 31.06612
11.88541, 29.94686
11.88541, 28.82761
11.88542, 27.70835
11.88542, 26.58910
11.88543, 25.46984
11.88544, 24.35059
11.88544, 23.23133
11.88545, 22.11208
11.88546, 20.99282
11.88546, 19.87357
11.88547, 18.75431
11.88548, 17.63506
11.88548, 16.51580
11.88549, 15.39655
11.88855, 44.49068
11.88931, 45.67441
11.88970, 47.88383
11.89056, 46.65068
11.90751, 48.39053
11.92328, 48.00138
11.93904, 47.25148
11.95480, 47.20921
11.97057, 47.39819
11.98633, 47.63804
12.00209, 47.87327
12.01785, 47.90962
12.03361, 47.97372
12.04938, 48.00545
12.06514, 47.92155
12.08090, 48.01803
12.09666, 47.98963
12.11242, 48.13698
12.12763, 48.42026
12.12889, 49.85450
12.12960, 50.81602
12.14468, 46.54697
12.15973, 45.46795
12.17593, 45.01747
12.18388, 47.62560
12.18410, 43.49566
12.18480, 46.20191
12.19125, 45.20611
12.19410, 48.52059
12.19411, 47.40133
12.19999, 45.75104
12.21562, 44.92761
12.23138, 44.32571
12.25575, 43.64020
12.26649, 43.41313
12.28727, 43.29665
12.30304, 42.96763
12.32014, 43.01749
12.32454, 41.66403
12.32839, 44.53493
12.33014, 45.86361
12.33198, 43.67499
12.33717, 46.95454
12.34333, 44.63734
12.35748, 43.77477
12.37325, 43.23762
12.38987, 43.10281
12.40478, 42.77845
12.42054, 42.62518
12.43630, 42.55978
12.45207, 42.41113
12.46783, 42.38273
12.47786, 41.86123
12.47787, 40.74198
12.47788, 39.62272
12.47860, 38.46952
12.47861, 37.35027
12.47861, 36.23101
12.47862, 35.11176
12.47863, 33.99250
12.47863, 32.87325
12.47864, 31.75399
12.47865, 30.63474
12.47865, 29.51548
12.47866, 28.39623
12.47866, 27.27697
12.47867, 26.15772
12.47868, 25.03846
12.47868, 23.91921
12.47869, 22.79995
12.47870, 21.68070
12.47870, 20.56144
12.47871, 19.44219
12.47872, 18.32293
12.47872, 17.20368
12.47873, 16.08442
12.47874, 14.96517
12.47874, 13.84591
12.47875, 12.72666
12.47875, 11.60740
12.47876, 10.48815
12.47877, 9.36889
12.47877, 8.24964
12.47878, 7.13038
12.47879, 6.01113
12.47879, 4.89187
12.47880, 3.77262
12.48096, 1.94738
12.48741, 1.12675
12.49243, 0.00729
12.50820, -0.04423
12.52396, -0.04488
12.53972, -0.04553
12.55548, -0.04618
12.57125, -0.04682
12.58629, -0.04744
