Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,323705,-,-,-,33.45,-112.06,0,334,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2020,1,1,0,0,11.700000000000001,1.04,0.08,0.62,18,232,38,7,7,2,29,4,57,29,0.358,51.32,85.14,0.92,0.16,971,1.3,360,1.1,0.0000,0.0000
2020,1,1,0,30,10.600000000000001,1.04,0.08,0.62,5,37,5,3,7,2,4,0,43,4,0.357,55.19,90.16,0.92,0.16,971,1.3,181,1.2000000000000002,0.0000,0.0000
2020,1,1,1,0,9.4,1.04,0.078,0.62,0,0,0,0,0,2.1,0,0,0,0,0.355,60.36,96.38,0.92,0.16,972,1.3,2,1.3,0.0000,0.0000
2020,1,1,1,30,8.8,1.04,0.078,0.62,0,0,0,0,0,2.1,0,0,0,0,0.353,62.84,102.2,0.92,0.16,972,1.3,7,1.4000000000000001,0.0000,0.0000
2020,1,1,2,0,8.200000000000001,1.04,0.076,0.62,0,0,0,0,0,2.1,0,0,0,0,0.35100000000000003,65.32000000000001,108.15,0.92,0.16,972,1.3,11,1.4000000000000001,0.0000,0.0000
2020,1,1,2,30,7.800000000000001,1.04,0.076,0.62,0,0,0,0,0,2.1,0,0,0,0,0.34900000000000003,67.19,114.21000000000001,0.92,0.16,973,1.3,15,1.5,0.0000,0.0000
2020,1,1,3,0,7.5,1.03,0.073,0.62,0,0,0,0,0,1.8,0,0,0,0,0.34600000000000003,67.3,120.35000000000001,0.92,0.16,973,1.3,20,1.5,0.0000,0.0000
2020,1,1,3,30,7.2,1.03,0.073,0.62,0,0,0,0,0,1.8,0,0,0,0,0.34400000000000003,68.69,126.55,0.92,0.16,973,1.2000000000000002,24,1.7000000000000002,0.0000,0.0000
2020,1,1,4,0,6.9,1.03,0.07200000000000001,0.62,0,0,0,0,0,1.6,0,0,0,0,0.342,68.79,132.79,0.92,0.16,973,1.2000000000000002,28,1.8,0.0000,0.0000
2020,1,1,4,30,6.6000000000000005,1.03,0.07200000000000001,0.62,0,0,0,0,0,1.6,0,0,0,0,0.339,70.29,139.05,0.92,0.16,974,1.2000000000000002,33,2,0.0000,0.0000
