Device mode,Time,AC voltage (V),AC frequency (Hz),Battery voltage (V),Battery capacity (%),Charging current (A),Battery discharge current (A),Output voltage (V),Output frequency (Hz),Output apparent power (VA),Output active power (Watt),Load percent (%),PV1 input voltage (V),PV1 input power (Watt)
LineMode,"2025-02-17 
00:30:21",184.8,50.0,56.00,95,3,0,184.8,50.0,0,0,0,0.0,0
LineMode,"2025-02-17 
00:30:51",186.0,50.2,56.10,95,3,0,186.0,50.2,0,0,0,0.0,0
LineMode,"2025-02-17 
00:31:22",187.9,50.2,56.00,95,3,0,187.9,50.2,0,0,0,0.0,0
LineMode,"2025-02-17 
00:31:52",187.9,50.1,56.00,95,3,0,187.9,50.1,0,0,0,0.0,0
LineMode,"2025-02-17 
00:32:22",187.4,49.7,56.10,95,3,0,187.4,49.7,0,0,0,0.0,0
LineMode,"2025-02-17 
00:32:52",187.6,49.5,56.10,95,3,0,187.6,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
00:33:22",187.7,49.2,56.00,95,3,0,187.7,49.2,0,0,0,0.0,0
LineMode,"2025-02-17 
00:33:52",187.3,48.9,56.10,95,2,0,187.3,48.9,0,0,0,0.0,0
LineMode,"2025-02-17 
00:34:22",187.1,48.8,56.00,95,3,0,187.1,48.8,0,0,0,0.0,0
LineMode,"2025-02-17 
00:34:52",188.4,49.0,56.00,95,3,0,188.4,49.0,0,0,0,0.0,0
LineMode,"2025-02-17 
00:35:22",189.1,49.5,56.10,95,2,0,189.1,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
00:35:52",189.1,49.6,56.10,95,2,0,189.1,49.6,0,0,0,0.0,0
LineMode,"2025-02-17 
00:36:22",186.3,49.5,56.10,95,2,0,186.3,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
00:36:52",187.1,49.4,56.10,95,2,0,187.1,49.4,0,0,0,0.0,0
LineMode,"2025-02-17 
00:37:23",187.4,49.5,56.00,95,2,0,187.4,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
00:37:53",186.8,49.5,56.00,95,2,0,186.8,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
00:38:23",187.6,49.5,56.10,95,2,0,187.6,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
00:38:53",187.0,49.5,56.00,95,2,0,187.0,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
00:39:23",187.0,49.5,56.10,95,2,0,187.0,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
00:39:53",186.8,49.5,56.10,95,2,0,186.8,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
00:40:23",186.7,49.6,56.00,95,2,0,186.7,49.6,0,0,0,0.0,0
LineMode,"2025-02-17 
00:40:53",186.3,49.7,56.10,95,2,0,186.3,49.7,0,0,0,0.0,0
LineMode,"2025-02-17 
00:41:23",185.8,49.7,56.00,95,2,0,185.8,49.7,0,0,0,0.0,0
LineMode,"2025-02-17 
00:41:53",186.0,49.6,56.00,95,2,0,186.0,49.6,0,0,0,0.0,0
LineMode,"2025-02-17 
00:42:23",186.8,49.6,56.10,95,2,0,186.8,49.6,0,0,0,0.0,0
LineMode,"2025-02-17 
00:42:53",188.0,49.4,56.10,95,2,0,188.0,49.4,0,0,0,0.0,0
LineMode,"2025-02-17 
00:43:23",187.7,49.2,56.10,95,2,0,187.7,49.2,0,0,0,0.0,0
LineMode,"2025-02-17 
00:43:54",187.1,49.1,56.00,95,2,0,187.1,49.1,0,0,0,0.0,0
LineMode,"2025-02-17 
00:44:24",186.7,49.3,56.10,100,1,0,186.7,49.3,0,0,0,0.0,0
LineMode,"2025-02-17 
00:44:54",186.4,49.3,56.10,100,1,0,186.4,49.3,0,0,0,0.0,0
LineMode,"2025-02-17 
00:45:24",187.7,49.5,56.00,95,1,0,187.7,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
00:45:54",189.0,49.7,56.00,100,1,0,189.0,49.7,0,0,0,0.0,0
LineMode,"2025-02-17 
00:46:24",188.5,49.9,56.10,100,1,0,188.5,49.9,0,0,0,0.0,0
LineMode,"2025-02-17 
00:46:54",188.4,49.9,56.10,100,1,0,188.4,49.9,0,0,0,0.0,0
LineMode,"2025-02-17 
00:47:24",189.4,49.9,56.00,100,1,0,189.4,49.9,0,0,0,0.0,0
LineMode,"2025-02-17 
00:47:54",188.4,49.8,56.00,95,1,0,188.4,49.8,0,0,0,0.0,0
LineMode,"2025-02-17 
00:48:24",188.6,49.9,56.10,95,1,0,188.6,49.9,0,0,0,0.0,0
LineMode,"2025-02-17 
00:48:54",188.9,49.7,56.00,100,1,0,188.9,49.7,0,0,0,0.0,0
LineMode,"2025-02-17 
00:49:25",189.1,49.7,56.10,100,1,0,189.1,49.7,0,0,0,0.0,0
LineMode,"2025-02-17 
00:49:55",189.0,49.6,56.10,100,1,0,189.0,49.6,0,0,0,0.0,0
LineMode,"2025-02-17 
00:50:25",189.2,49.5,56.10,100,1,0,189.2,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
00:50:55",189.0,49.4,56.10,95,1,0,189.0,49.4,0,0,0,0.0,0
LineMode,"2025-02-17 
00:51:25",188.4,49.4,56.10,100,1,0,188.4,49.4,0,0,0,0.0,0
LineMode,"2025-02-17 
00:51:55",188.7,49.3,56.10,100,1,0,188.7,49.3,0,0,0,0.0,0
LineMode,"2025-02-17 
00:52:25",189.3,49.4,56.10,100,1,0,189.3,49.4,0,0,0,0.0,0
LineMode,"2025-02-17 
00:52:55",189.0,49.4,56.10,95,1,0,189.0,49.4,0,0,0,0.0,0
LineMode,"2025-02-17 
00:53:25",188.4,49.3,56.10,100,1,0,188.4,49.3,0,0,0,0.0,0
LineMode,"2025-02-17 
00:53:55",188.4,49.1,56.00,100,0,0,188.4,49.1,0,0,0,0.0,0
LineMode,"2025-02-17 
00:54:25",189.0,49.0,56.00,100,1,0,189.0,49.0,0,0,0,0.0,0
LineMode,"2025-02-17 
00:54:56",188.7,48.8,56.00,100,1,0,188.7,48.8,0,0,0,0.0,0
LineMode,"2025-02-17 
00:55:26",188.5,48.9,56.10,100,0,0,188.5,48.9,0,0,0,0.0,0
LineMode,"2025-02-17 
00:55:56",189.2,48.9,56.00,100,0,0,189.2,48.9,0,0,0,0.0,0
LineMode,"2025-02-17 
00:56:26",189.6,48.9,56.10,95,0,0,189.6,48.9,0,0,0,0.0,0
LineMode,"2025-02-17 
00:56:56",189.4,49.0,56.10,100,0,0,189.4,49.0,0,0,0,0.0,0
LineMode,"2025-02-17 
00:57:26",189.3,49.0,56.10,100,0,0,189.3,49.0,0,0,0,0.0,0
LineMode,"2025-02-17 
00:57:56",188.8,49.1,56.00,95,0,0,188.8,49.1,0,0,0,0.0,0
LineMode,"2025-02-17 
00:58:26",188.6,49.1,56.00,95,0,0,188.6,49.1,0,0,0,0.0,0
LineMode,"2025-02-17 
00:58:56",189.1,49.1,56.10,95,0,0,189.1,49.1,0,0,0,0.0,0
LineMode,"2025-02-17 
00:59:26",189.5,49.2,56.10,95,0,0,189.5,49.2,0,0,0,0.0,0
LineMode,"2025-02-17 
00:59:56",189.8,49.5,56.00,100,0,0,189.8,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
01:00:27",189.3,49.7,56.10,95,0,0,189.3,49.7,0,0,0,0.0,0
LineMode,"2025-02-17 
01:00:57",189.2,49.8,56.00,95,0,0,189.2,49.8,0,0,0,0.0,0
LineMode,"2025-02-17 
01:01:27",190.3,50.0,56.00,100,0,0,190.3,50.0,0,0,0,0.0,0
LineMode,"2025-02-17 
01:01:57",190.6,50.1,56.10,95,0,0,190.6,50.1,0,0,0,0.0,0
LineMode,"2025-02-17 
01:02:27",191.1,50.2,56.00,100,0,0,191.1,50.2,0,0,0,0.0,0
LineMode,"2025-02-17 
01:02:57",190.4,50.2,56.00,95,0,0,190.4,50.2,0,0,0,0.0,0
LineMode,"2025-02-17 
01:03:27",191.0,50.2,56.10,100,0,0,191.0,50.2,0,0,0,0.0,0
LineMode,"2025-02-17 
01:03:57",190.7,49.9,56.10,100,0,0,190.7,49.9,0,0,0,0.0,0
LineMode,"2025-02-17 
01:04:27",190.4,49.7,56.10,95,0,0,190.4,49.7,0,0,0,0.0,0
LineMode,"2025-02-17 
01:04:57",190.9,49.5,56.10,100,0,0,190.9,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
01:05:28",190.8,49.5,56.10,95,0,0,190.8,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
01:05:58",191.0,49.4,56.00,100,0,0,191.0,49.4,0,0,0,0.0,0
LineMode,"2025-02-17 
01:06:28",191.0,49.3,56.00,100,0,0,191.0,49.3,0,0,0,0.0,0
LineMode,"2025-02-17 
01:06:58",190.8,49.3,56.00,100,0,0,190.8,49.3,0,0,0,0.0,0
LineMode,"2025-02-17 
01:07:28",189.7,49.3,56.10,100,0,0,189.7,49.3,0,0,0,0.0,0
LineMode,"2025-02-17 
01:07:58",189.7,49.3,56.00,95,0,0,189.7,49.3,0,0,0,0.0,0
LineMode,"2025-02-17 
01:08:28",189.7,49.2,56.00,95,0,0,189.7,49.2,0,0,0,0.0,0
LineMode,"2025-02-17 
01:08:58",190.3,49.2,56.10,95,0,0,190.3,49.2,0,0,0,0.0,0
LineMode,"2025-02-17 
01:09:28",190.2,49.3,56.00,95,0,0,190.2,49.3,0,0,0,0.0,0
LineMode,"2025-02-17 
01:09:58",189.9,49.3,56.10,95,0,0,189.9,49.3,0,0,0,0.0,0
LineMode,"2025-02-17 
01:10:29",190.5,49.5,56.10,100,0,0,190.5,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
01:10:59",190.9,49.5,56.10,95,0,0,190.9,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
01:11:29",190.8,49.4,56.10,100,0,0,190.8,49.4,0,0,0,0.0,0
LineMode,"2025-02-17 
01:11:59",189.9,49.5,56.10,100,0,0,189.9,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
01:12:29",189.9,49.4,56.10,100,0,0,189.9,49.4,0,0,0,0.0,0
LineMode,"2025-02-17 
01:12:59",189.7,49.5,56.00,100,0,0,189.7,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
01:13:29",189.8,49.5,56.00,100,0,0,189.8,49.5,0,0,0,0.0,0
LineMode,"2025-02-17 
01:13:59",189.4,49.4,56.10,100,0,0,189.4,49.4,0,0,0,0.0,0
LineMode,"2025-02-17 
01:14:29",190.0,49.6,56.10,100,0,0,190.0,49.6,0,0,0,0.0,0
LineMode,"2025-02-17 
01:15:00",189.1,49.7,56.00,100,0,0,189.1,49.7,0,0,0,0.0,0
LineMode,"2025-02-17 
01:15:30",189.3,49.8,56.10,100,0,0,189.3,49.8,0,0,0,0.0,0
LineMode,"2025-02-17 
01:16:00",189.6,49.9,56.10,100,0,0,189.6,49.9,0,0,0,0.0,0
LineMode,"2025-02-17 
01:16:30",190.0,50.1,56.00,100,0,0,190.0,50.1,0,0,0,0.0,0
LineMode,"2025-02-17 
01:17:00",190.4,50.3,56.00,100,0,0,190.4,50.3,0,0,0,0.0,0
LineMode,"2025-02-17 
01:17:30",191.9,50.5,56.10,100,0,0,191.9,50.5,0,0,0,0.0,0
LineMode,"2025-02-17 
01:18:00",191.2,50.3,56.10,100,0,0,191.2,50.3,0,0,0,0.0,0
LineMode,"2025-02-17 
01:18:30",191.2,50.4,56.10,100,0,0,191.2,50.4,0,0,0,0.0,0
